id,name,geonamesId,place,pointLat,pointLon,kemendagriCode,stateId,stateName,stateIso,countryId,countryIso
Q10399,Tasikmalaya,1624647,CITY,-7.333333333,108.2,32.78,Q3724,Jawa Barat,ID-JB,Q252,ID
Q5989,Tebing Tinggi,6715567,CITY,3.328333333,99.1625,12.76,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q7389,Tebo,,TOWN,-1.38333,102.317,15.09,Q2051,Jambi,ID-JA,Q252,ID
Q11027,Tegal,1624494,CITY,-6.866666666,109.133333333,33.76,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q10705,Tegal,,TOWN,-6.86666667,109.15,33.28,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q26819,Teluk Bintuni,,TOWN,,,92.06,Q5096,Papua Barat,ID-PB,Q252,ID
Q26827,Teluk Wondama,7910908,TOWN,-2.7,134.5,92.07,Q5096,Papua Barat,ID-PB,Q252,ID
Q10979,Temanggung,,TOWN,-7.3,110.166666666,33.23,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q19151,Ternate,7910935,CITY,0.783333333,127.366666666,82.71,Q5094,Maluku Utara,ID-MU,Q252,ID
Q19153,Tidore Kepulauan,9845501,CITY,0.683333333,127.4,82.72,Q5094,Maluku Utara,ID-MU,Q252,ID
Q14151,Timor Tengah Selatan,,TOWN,-9.471666666,124.804722222,53.02,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q14146,Timor Tengah Utara,,TOWN,-9.446666666,124.478055555,53.03,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q5911,Toba Samosir,,TOWN,,,12.12,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q15823,Tojo Una Una,,TOWN,-0.875556,121.63,72.09,Q5065,Sulawesi Tengah,ID-ST,Q252,ID
Q27802,Tolikara,,TOWN,,,91.14,Q5095,Papua,ID-PA,Q252,ID
Q15824,Tolitoli,,TOWN,1.03861,120.818,72.04,Q5065,Sulawesi Tengah,ID-ST,Q252,ID
Q15848,Tomohon,1623446,CITY,1.324421,124.82254,71.73,Q5068,Sulawesi Utara,ID-SA,Q252,ID
Q14609,Toraja Utara,,TOWN,-3.0,120.0,73.26,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
