id,name,geonamesId,geonamesName,lat,lon
Q10622,Pati,1631990,Kabupaten Pati,-6.76667,111.1
Q16251650,Pegunungan Arfak,9828026,Arfak Mountains Regency,-0.93523,133.89587
Q27750,Pegunungan Bintang,7910943,Kabupaten Pegunungan Bintang,-4.52167,140.29541
Q10623,Pekalongan,6792336,Kabupaten Pekalongan,-7.0319,109.624
Q7641,Pelalawan,9163207,Kabupaten Pelalawan,0.20822,102.18607
Q14479,Penajam Paser Utara,9165729,Kabupaten Penajam Paser Utara,-1.25,116.83333
Q15729116,Penukal Abab Lematang Ilir,9828027,Penukal Abab Lematang Ilir Regency,-3.21342,104.08722
Q8144,Pesawaran,9843606,Pesawaran Regency,-5.4298,105.17899
Q46481,Pesisir Barat,9828028,West Pesisir Regency,-5.19323,103.93976
Q6065,Pesisir Selatan,1631300,Kabupaten Pesisir Selatan,-1.58333,100.85
Q5751,Pidie,8571637,Kabupaten Pidie Jaya,5.15,96.21667
Q5754,Pidie Jaya,8571637,Kabupaten Pidie Jaya,5.15,96.21667
Q14615,Pinrang,1631102,Kabupaten Pinrang,-3.61667,119.6
Q15353,Polewali Mandar,1630933,Kabupaten Polewali Mandar,-3.3,119.16667
Q15817,Poso,1633034,Palu,-0.90833,119.87083
Q8145,Pringsewu,9844898,Pringsewu Regency,-5.42211,104.93454
Q11121,Probolinggo,1630633,Kabupaten Probolinggo,-7.86667,113.31667
Q14385,Pulang Pisau,8741175,Kabupaten Pulang Pisau,-3.11858,113.8623
Q27761,Puncak,9172050,Kabupaten Puncak Jaya,-3.67241,137.43896
Q27771,Puncak Jaya,9172050,Kabupaten Puncak Jaya,-3.67241,137.43896
Q10625,Purbalingga,6390578,Kabupaten Purbalingga,-7.28417,109.35028
Q10378,Purwakarta,1630340,Kabupaten Purwakarta,-6.58333,107.45
Q10674,Purworejo,1630324,Kabupaten Purworejo,-7.7,109.96667
Q26785,Raja Ampat,1630210,Kabupaten Raja Ampat,-0.5,130
Q8035,Rejang Lebong,1629764,Kabupaten Rejang Lebong,-3.43333,102.71667
Q10684,Rembang,1629746,Kabupaten Rembang,-6.78333,111.46667
Q7759,Rokan Hilir,9844900,Rokan Hilir Regency,2.16599,100.82514
Q14147,Rote Ndao,9165782,Kabupaten Rote Ndao,-10.73617,123.12054
Q14148,Sabu Raijua,9844902,Sabu Raijua Regency,-10.56286,121.78894
Q14164,Sambas,1628978,Kabupaten Sambas,1.41667,109.33333
Q5888,Samosir,9165769,Kabupaten Toba Samosir,2.39793,99.21678
Q11127,Sampang,1628896,Kabupaten Sampang,-7.05,113.25
Q14165,Sanggau,1628799,Kabupaten Sanggau,0.25472,110.45
Q15839,Sangihe,1628775,Kabupaten Kepulauan Sangihe,3.5,125.55
Q27784,Sarmi,8531251,Kabupaten Sarmi,-2.41667,139.08333
Q7383,Sarolangun,1628580,Kabupaten Sarolangun,-2.3,102.65
Q14166,Sekadau,9166118,Kabupaten Sekadau,0.03485,110.95066
Q8037,Seluma,9845356,Seluma Regency,-3.96644,102.47429
Q18942,Seram Bagian Barat,9165987,Kabupaten Seram Bagian Barat,-3.1027,128.42996
Q16569,Seram Bagian Timur,9165999,Kabupaten Seram Bagian Timur,-3.39851,130.39167
Q10122,Serang,1627549,Serang,-6.11528,106.15417
Q5899,Serdang Bedagai,6715130,Kabupaten Serdang Bedagai,3.36667,99.03333
